cyclomatic_complexity,cognitive_complexity,nesting_depth,lines_of_code,num_methods,num_classes,num_parameters,code_duplication,test_coverage,comment_ratio,inheritance_depth,coupling,cohesion,num_sql_queries,num_file_operations,num_network_calls,input_validation_ratio,uses_encryption,num_annotations,dependency_injection_usage,patterns,vulnerability_type,severity
1,51,3,10,1,1,1,0.2375554792416794,0.7904774491418569,0.07925795243872709,0,1,0.9519459631932917,1,4,13,0.05523284373763393,1,9,0.42388284262619724,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,core_annotations_di",path_traversal,HIGH
1,71,5,11,2,1,0,0.028662135432202918,0.44328648355222955,0.3331845719434603,0,2,0.9459129664354666,17,1,12,0.8101985654752002,0,6,0.2959573732004763,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",insecure_deserialization,HIGH
1,78,7,14,2,1,1,0.3592371073879626,0.16580447082658012,0.28843504347911686,0,1,0.9157780429554067,15,2,6,0.27061134399739495,1,15,0.5672757698572044,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",sql_injection,MEDIUM
1,29,8,7,1,1,0,0.18596472776642703,0.3132169431566907,0.3223824511312161,0,1,0.915011896429036,3,6,3,0.6041760968139308,1,1,0.192140036599882,"Singleton Design Pattern,basic_programming_constructs",none,LOW
2,83,1,8,2,1,0,0.09968236587358159,0.2123795641050702,0.39589826996316885,0,0,0.9260413010512166,19,3,0,0.1444829883423232,0,7,0.4318462691170498,"Singleton Design Pattern,basic_programming_constructs",sql_injection,MEDIUM
2,19,2,6,2,1,1,0.2724267789180192,0.12581746791483706,0.3457726424622809,0,2,0.9424600178363065,18,5,4,0.4424256671748571,1,14,0.6825417040696257,"Singleton Design Pattern,dependency_injection,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
2,66,7,10,2,1,1,0.48687965362150687,0.37758112743535377,0.20818530033990412,0,0,0.9562673474039606,7,7,6,0.027701120748561903,1,15,0.6523560480431578,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",sql_injection,HIGH
1,41,2,10,2,1,1,0.34756552450920913,0.5409362431980751,0.12430727391890298,0,1,0.9158194026866783,19,0,11,0.8599517173330032,0,2,0.6998935605199735,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",insecure_deserialization,HIGH
3,45,7,14,2,1,1,0.2458734250520801,0.07275152527663176,0.22787063462988044,0,1,0.927021216488255,7,5,3,0.5397484582360975,0,19,0.5865500602711182,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,openapi_documentation,spring_data_jpa",none,LOW
1,15,9,14,1,1,0,0.38845714962725314,0.6038233722281834,0.255434620093781,0,0,0.9507334618761771,13,0,6,0.8905103141125915,0,1,0.00263035820306301,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety",none,LOW
3,3,2,7,1,1,1,0.36873823594949434,0.9930244401696076,0.1341248565038484,0,1,0.9076059391201061,15,7,7,0.46778344479013656,0,14,0.026735430198572496,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,web_mvc_annotations,spring_data_jpa",xxe,MEDIUM
